Record Num.,Array Current(A) ,Array Voltage(V),Array Power(W),Load Current(A),Load Voltage(V),Load Power(W),Battery Current(A),Battery Voltage(V),Battery Temp.(℃),Battery SOC(%),Battery Max. Voltage(V),Battery Min. Voltage(V),Array Status,Charging Status,Battery Status,Load Status,Device Status,Daily Energy Consumed(kWh),Monthly Energy Consumed(kWh),Annual Energy Consumed(kWh),Total Energy Consumed(kWh),Daily Energy Generated(kWh),Monthly Energy Generated(kWh),Annual Energy Generated(kWh),Total Energy Generated(kWh)
1,0.38,14.63,5.67,0.00,0.00,0.00,0.42,13.52,25.00,89,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.13,0.43,1.58,2.85,2017/10/8  15:57:0
2,0.31,14.53,4.56,0.00,0.00,0.00,0.34,13.43,25.00,86,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.13,0.43,1.58,2.85,2017/10/8  16:8:0
3,0.30,14.53,4.42,0.00,0.00,0.00,0.33,13.41,25.00,85,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.13,0.43,1.58,2.85,2017/10/8  16:19:0
4,0.21,20.34,4.45,0.00,0.00,0.00,0.33,13.51,25.00,89,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.13,0.43,1.58,2.85,2017/10/8  16:30:0
5,0.40,14.64,5.94,0.00,0.00,0.00,0.44,13.50,25.00,88,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.13,0.43,1.58,2.85,2017/10/8  16:41:0
6,0.40,14.50,5.80,0.00,0.00,0.00,0.43,13.51,25.00,88,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  16:52:0
7,0.18,14.41,2.67,0.00,0.00,0.00,0.20,13.38,25.00,84,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:3:0
8,0.15,14.40,2.26,0.00,0.00,0.00,0.17,13.34,25.00,82,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:14:0
9,0.10,14.32,1.46,0.00,0.00,0.00,0.11,13.31,25.00,81,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:25:0
10,0.08,14.22,1.19,0.00,0.00,0.00,0.09,13.29,25.00,81,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:36:0
11,0.06,14.12,0.92,0.00,0.00,0.00,0.07,13.26,25.00,80,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:47:0
12,0.03,14.26,0.52,0.00,0.00,0.00,0.04,13.24,25.00,79,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  17:58:0
13,0.00,14.20,0.13,0.00,0.00,0.00,0.01,13.22,25.00,78,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  18:9:0
14,0.00,14.06,0.00,0.00,0.00,0.00,0.00,13.19,25.00,77,14.43,12.55,Input,RaisingCharge,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  18:20:0
15,0.00,9.76,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  18:31:0
16,0.00,3.58,0.00,0.00,0.00,0.00,0.00,13.17,25.00,76,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  18:42:0
17,0.00,0.90,0.00,0.00,0.00,0.00,0.00,13.16,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  18:53:0
18,0.00,0.05,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:4:0
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:15:0
20,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:26:0
21,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.15,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:37:0
22,0.00,0.01,0.00,0.00,0.00,0.00,0.00,13.14,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:48:0
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.13,25.00,75,14.43,12.55,CutOut,NotCharging,Normal,Off,Normal,0.00,0.00,0.01,0.01,0.14,0.44,1.59,2.86,2017/10/8  19:59:0
